ID,CountryName,CountryID,PerRuralPop,PerAgLandArea,PerArabLandArea,PerAgEmploy,PerForestLand
85,Kenya,KEN,74.803,48.54693046,10.24938211,null,7.56088133
86,Kyrgyz,KGZ,64.415,55.19186653,6.653632256,30.90000057,3.446298227
87,Cambodia,KHM,79.486,32.85746658,23.12297001,null,55.73985951
88,Korea,KOR,39.285,21.8420397,19.51665144,null,44.94643302
89,Kosovo,KOS,null,null,null,4.599999905,null
90,Kuwait,KWT,1.674,8.61952862,0.58174336,1.200000048,0.350729517
91,Laos,LAO,62.449,10.1169844,6.307047949,null,78.8297227
92,Lebanon,LBN,12.33,64.32062561,12.67513848,null,13.39784946
93,Liberia,LBR,50.692,28.03156146,5.1910299,null,44.32101329
94,Libya,LBY,21.641,8.726712664,0.976770444,null,0.123327688
95,SriLanka,LKA,81.68,43.69319088,20.46457237,30.39999962,33.32482858
96,Lesotho,LSO,73.211,74.1798419,9.194115064,null,1.515151515
97,Lithuania,LTU,33.478,46.13322696,35.82912348,9,34.68724554
98,Luxembourg,LUX,10.128,50.53281853,24.08365508,1.299999952,33.47490347
99,Latvia,LVA,32.579,30.03698344,18.99556883,7.300000191,53.94436532
100,Morocco,MAR,40.301,68.11785794,17.84733737,39.5,12.67308985
101,Moldova,MDA,55.075,74.84793187,55.18813827,27.59999975,12.02551955
102,Madagascar,MDG,65.532,71.18425576,6.015847461,75.30000305,21.52126467
103,Mexico,MEX,21.029,54.89081509,11.84907019,13.39999962,34.11342884
104,Macedonia,MKD,42.971,49.96034893,16.4023262,18,39.57176844
105,Mali,MLI,60.857,33.76605283,5.49996312,null,4.05838435
106,Myanmar,MMR,66.449,19.27328964,16.48822024,null,46.97090409
107,Montenegro,MNE,36.168,16.58959108,8.743494424,5.699999809,61.48698885
108,Mongolia,MNG,28.778,72.93564458,0.391445025,34,8.267875074
109,Mozambique,MOZ,68.066,63.51890943,7.184821588,null,49.03380045
110,Mauritania,MRT,40.745,38.52818473,0.404256007,null,0.228000388
111,Malawi,MWI,83.898,61.4128129,39.42158111,64.09999847,33.9520577
112,Malaysia,MYS,25.99,23.85938213,2.899609395,12.19999981,67.42474509
113,Namibia,NAM,54.322,47.13891824,0.971711062,29.53333282,8.674464648
114,NewCaledonia,NCL,30.337,10.07658643,0.340991977,null,45.89715536
115,Niger,NER,81.531,35.35328018,12.47335596,null,0.93092287
116,Nigeria,NGA,53.058,77.73642083,37.69704023,null,9.027306565
117,Nicaragua,NIC,41.541,42.08908094,12.57271065,null,25.87668273
118,Netherlands,NLD,10.09,54.87377487,30.21888123,2,11.10277361
119,Norway,NOR,19.792,2.702870676,2.223329546,2.099999905,33.14487536
120,Nepal,NPL,81.757,28.74782002,14.86966632,66.5,25.3644925
121,NewZealand,NZL,13.749,42.17842087,1.933082678,6.700000127,38.55303634
122,Oman,OMN,22.822,4.744749596,0.116639742,null,0.006462036
123,Pakistan,PAK,61.697,47.06309672,39.26681196,43.5,2.07684724
124,Panama,PAN,33.708,30.36050578,7.582279616,16.85000038,62.76836158
125,Peru,PER,21.715,19.0109375,3.212239583,null,58.18421875
126,Philippines,PHL,55.512,41.72116578,18.5800047,30.39999962,24.5497535
127,PapuaNewGuinea,PNG,87.015,2.627743674,0.662456388,null,74.12312856
128,Poland,POL,39.432,47.05920773,35.7204951,11.19999981,30.60348922
129,PuertoRico,PRI,6.364,22.2886133,6.749342352,1.600000024,54.79443818
130,NorthKorea,PRK,17.64,18.14684095,15.42905746,6.23333327,63.75857456
131,Portugal,PRT,37.092,39.75982533,12.25708107,5.5,35.11391393
132,Paraguay,PRY,40.584,54.32922225,11.09153452,22.79999924,41.0249182
133,WestBankandGaza,PSX,24.974,43.52159468,7.502768549,11.29999987,1.523255814
134,Qatar,QAT,0.841,5.823428079,1.145564169,1.399999976,0
135,Romania,ROU,45.607,60.44863713,38.44992873,25.39999962,28.91866922
136,Russian,RUS,26.076,13.24062535,7.367911776,6.699999809,49.76857971
137,Rwanda,RWA,72.159,74.68585326,46.94865559,null,18.62991488
138,WestSahara,SAH,null,null,null,null,null
139,SaudiArabia,SAU,17.074,80.61394899,1.44889108,4.633333365,0.454484135
140,Sudan,SDN,66.377,45.79768519,7.761083053,44.59999847,8.305211841
141,SouthSudan,SDS,81.409,null,null,null,null
142,Senegal,SEN,56.607,46.32005402,17.22675254,46.09999847,43.59320625
143,SolomonIslands,SLB,78.124,3.8585209,0.702631892,null,78.6638085
144,SierraLeone,SLE,60.422,54.70559712,21.74161818,null,39.52895539
145,Salvador,SLV,33.745,76.35135135,34.44337194,20.73333359,13.42664093
146,Somaliland,SOL,null,null,null,null,null
147,Somalia,SOM,60.922,70.33665955,1.647166343,null,10.51009022
148,Serbia,SRB,44.545,57.95792362,37.63625276,21.16666667,31.05190944
149,Suriname,SUR,33.915,0.533333333,0.363247863,3.200000048,98.35512821
150,SlovakRepublic,SVK,46.243,40.10356014,28.95732823,3.5,40.33022792
151,Slovenia,SVN,50.305,23.7388282,8.512082092,7.699999809,61.93644489
152,Sweden,SWE,14.335,7.482447096,6.37135093,1.700000048,68.74990426
153,Swaziland,SWZ,78.685,71.04651163,10.1744186,null,33.26744186
154,Syria,SYR,42.745,75.81005282,25.39345423,13.19999981,2.673855035
155,Chad,TCD,77.659,39.65613088,3.891359593,null,4.173125794
156,Togo,TGO,60.531,70.2334988,47.55776184,null,4.548630263
157,Thailand,THA,50.826,43.27741784,32.05517169,40.83333333,31.92272309
158,Tajikistan,TJK,73.308,34.83138039,6.120796418,null,2.935124321
159,Turkmenistan,TKM,50.312,72.00646905,4.128274424,null,8.782159045
160,Timor-Leste,TLS,67.869,25.55480834,10.42367182,null,48.39273705
161,TrinidadandTobago,TTO,91.45,10.52631579,4.873294347,null,44.76283301
162,Tunisia,TUN,33.355,63.99974253,18.32303467,14.80000019,6.503604531
163,Turkey,TUR,27.109,49.92398945,26.71846645,19.70000076,14.82244715
164,Taiwan,TWN,null,null,null,null,null
165,Tanzania,TZA,69.099,44.76179725,14.82652216,66.90000153,53.2580718
166,Uganda,UGA,84.234,71.88809096,34.32741539,null,12.38080989
167,Ukraine,UKR,30.518,71.24732445,56.12499712,14.80000019,16.55665263
168,Uruguay,URY,4.848,82.06490687,13.00613263,10,10.15186836
169,UnitedStates,USA,18.553,44.32255215,16.71195448,null,33.80953318
170,Uzbekistan,UZB,63.722,62.92900799,10.26484877,null,7.647531735
171,Venezuela,VEN,11.059,24.48840769,3.061050961,7.666666667,53.48472309
172,Vietnam,VNM,67.049,35.06853291,20.67662141,47.10000038,46.3959751
173,Vanuatu,VUT,74.183,15.34044299,1.640689089,null,36.09515997
174,Yemen,YEM,65.973,44.5972309,2.312000051,null,1.039831809
175,SouthAfrica,ZAF,35.702,79.83002086,10.17594188,4.599999905,7.617736524
176,Zambia,ZMB,59.528,31.92940448,4.977199048,52.20000076,66.09558913
177,Zimbabwe,ZWE,67.499,41.87669639,10.51225712,65.80000305,38.7726509
